"","Year","Month","Day","Text","Count"
"1",2020,1,29,"trump",17138
"2",2020,1,29,"ivanka trump",4250
"3",2020,1,29,"god",3649
"4",2020,1,29,"charles lieber",2898
"5",2020,1,29,"obama",2816
"6",2020,2,1,"trump",9748
"7",2020,2,1,"solskjær",3213
"8",2020,2,1,"god",2517
"9",2020,2,1,"kobe bryant",2037
"10",2020,2,1,"qassem soleimani",1866
"11",2020,2,2,"god",13978
"12",2020,2,2,"rampal ji maharaj",3922
"13",2020,2,2,"trump",3805
"14",2020,2,2,"kobe",2054
"15",2020,2,2,"bryant",1966
"16",2020,2,3,"trump",6563
"17",2020,2,3,"god",2542
"18",2020,2,3,"lisa",1341
"19",2020,2,3,"modi ghar ghar modi",1297
"20",2020,2,3,"xi jinping",986
"21",2020,2,4,"trump",4151
"22",2020,2,4,"god",2001
"23",2020,2,4,"modi",1909
"24",2020,2,4,"carrie lam",1401
"25",2020,2,4,"nathan",1269
"26",2020,2,5,"muhammad saw",6883
"27",2020,2,5,"trump",5407
"28",2020,2,5,"god",1570
"29",2020,2,5,"carrie lam",1472
"30",2020,2,5,"nathan",1093
"31",2020,2,8,"li wenliang",8510
"32",2020,2,8,"soleimani",3497
"33",2020,2,8,"trump",2353
"34",2020,2,8,"ivanka trump",2164
"35",2020,2,8,"god",1797
"36",2020,2,9,"pompeo",5532
"37",2020,2,9,"chen qiushi",5390
"38",2020,2,9,"li wenliang",3307
"39",2020,2,9,"god",2276
"40",2020,2,9,"xiaozhan",2188
"41",2020,2,10,"trump",19509
"42",2020,2,10,"chen qiushi",5634
"43",2020,2,10,"pompeo",3906
"44",2020,2,10,"xi jinping",2921
"45",2020,2,10,"god",1948
"46",2020,2,11,"trump",26722
"47",2020,2,11,"chen qiushi",3322
"48",2020,2,11,"bloomberg",2330
"49",2020,2,11,"xi jinping",2128
"50",2020,2,11,"god",2101
"51",2020,2,12,"trump",5808
"52",2020,2,12,"biden",4355
"53",2020,2,12,"jeong ho-seok",3245
"54",2020,2,12,"god",1780
"55",2020,2,12,"chen qiushi",1695
"56",2020,2,13,"trump",3921
"57",2020,2,13,"bernie sanders",3440
"58",2020,2,13,"odion ighalo",2586
"59",2020,2,13,"biden",2334
"60",2020,2,13,"god",1632
"61",2020,2,14,"jim bakker",6228
"62",2020,2,14,"trump",4990
"63",2020,2,14,"god",2604
"64",2020,2,14,"bloomberg",2454
"65",2020,2,14,"xia baolong",1911
"66",2020,2,15,"god",4577
"67",2020,2,15,"jim bakker",3448
"68",2020,2,15,"trump",2870
"69",2020,2,15,"xi jinping",1699
"70",2020,2,15,"bloomberg",1675
"71",2020,2,16,"trump",6031
"72",2020,2,16,"tom cotton",4259
"73",2020,2,16,"xi jinping",3327
"74",2020,2,16,"god",2435
"75",2020,2,16,"dean koontz",1678
"76",2020,2,17,"tom cotton",6557
"77",2020,2,17,"trump",5211
"78",2020,2,17,"xi jinping",4838
"79",2020,2,17,"god",2880
"80",2020,2,17,"bloomberg",1776
"81",2020,2,18,"liu zhiming",4597
"82",2020,2,18,"trump",4184
"83",2020,2,18,"tom cotton",3601
"84",2020,2,18,"bloomberg",3136
"85",2020,2,18,"god",2681
"86",2020,2,19,"xi jinping",6576
"87",2020,2,19,"mike bloomberg",6371
"88",2020,2,19,"joe biden",4955
"89",2020,2,19,"bloomberg",4700
"90",2020,2,19,"magu",4020
"91",2020,2,20,"trump",4733
"92",2020,2,20,"bloomberg",4172
"93",2020,2,20,"god",1985
"94",2020,2,20,"mike bloomberg",1805
"95",2020,2,20,"kimhanbin",1791
"96",2020,2,21,"trump",13457
"97",2020,2,21,"bloomberg",1700
"98",2020,2,21,"peng yinhua",1353
"99",2020,2,21,"god",1325
"100",2020,2,21,"obama",1022
"101",2020,2,22,"trump",9873
"102",2020,2,22,"god",5917
"103",2020,2,22,"bloomberg",2673
"104",2020,2,22,"mike bloomberg",1784
"105",2020,2,22,"carrie lam",1515
"106",2020,2,23,"trump",1833
"107",2020,2,23,"god",586
"108",2020,2,23,"xi jinping",232
"109",2020,2,23,"moon jae-in",197
"110",2020,2,23,"ian brownlee",183
"111",2020,2,24,"trump",13532
"112",2020,2,24,"bernie sanders",1932
"113",2020,2,24,"donald trump",1870
"114",2020,2,24,"bighit",1867
"115",2020,2,24,"obama",1672
"116",2020,2,25,"trump",32544
"117",2020,2,25,"chuck schumer",4606
"118",2020,2,25,"donald trump",3969
"119",2020,2,25,"rush limbaugh",2900
"120",2020,2,25,"gui minhai",2834
"121",2020,2,26,"trump",44384
"122",2020,2,26,"nancy messonnier",4528
"123",2020,2,26,"donald trump",4007
"124",2020,2,26,"biden",3472
"125",2020,2,26,"obama",2764
"126",2020,2,27,"trump",65271
"127",2020,2,27,"mike pence",31708
"128",2020,2,27,"pence",7016
"129",2020,2,27,"pelosi",5887
"130",2020,2,27,"donald trump",5795
"131",2020,2,28,"trump",76666
"132",2020,2,28,"mike pence",32208
"133",2020,2,28,"obama",16260
"134",2020,2,28,"nancy pelosi",11384
"135",2020,2,28,"donald trump",8354
"136",2020,2,29,"trump",305605
"137",2020,2,29,"mike pence",25703
"138",2020,2,29,"lewis",23978
"139",2020,2,29,"donald trump",16482
"140",2020,2,29,"anthony fauci",14583
"141",2020,3,1,"trump",154374
"142",2020,3,1,"mike pence",30833
"143",2020,3,1,"fauci",10343
"144",2020,3,1,"obama",10271
"145",2020,3,1,"donald trump",8881
"146",2020,3,2,"trump",19182
"147",2020,3,2,"mike pence",3981
"148",2020,3,2,"kardashian",2978
"149",2020,3,2,"joe biden",2596
"150",2020,3,2,"mr gan kim yong",2304
"151",2020,3,3,"trump",98369
"152",2020,3,3,"pelosi",13219
"153",2020,3,3,"boris johnson",10647
"154",2020,3,3,"candi cdebaca",8847
"155",2020,3,3,"mike pence",8808
"156",2020,3,4,"trump",81389
"157",2020,3,4,"pelosi",22906
"158",2020,3,4,"pence",16877
"159",2020,3,4,"obama",14036
"160",2020,3,4,"holi",9862
"161",2020,3,5,"trump",25991
"162",2020,3,5,"obama",5909
"163",2020,3,5,"biden",3610
"164",2020,3,5,"hannity",3104
"165",2020,3,5,"matt gaetz",2649
"166",2020,3,6,"trump",36491
"167",2020,3,6,"rick santelli",3129
"168",2020,3,6,"obama",2727
"169",2020,3,6,"donald trump",2568
"170",2020,3,6,"mike pence",2438
"171",2020,3,7,"trump",43775
"172",2020,3,7,"matt gaetz",2801
"173",2020,3,7,"donald trump",2738
"174",2020,3,7,"god",2211
"175",2020,3,7,"obama",2110
"176",2020,3,8,"trump",38092
"177",2020,3,8,"bieber",6767
"178",2020,3,8,"matt gaetz",4127
"179",2020,3,8,"donald trump",3636
"180",2020,3,8,"matt schlapp",2456
"181",2020,3,9,"trump",40670
"182",2020,3,9,"ted cruz",8108
"183",2020,3,9,"donald trump",4444
"184",2020,3,9,"fredo",2398
"185",2020,3,9,"obama",2379
"186",2020,3,10,"trump",33272
"187",2020,3,10,"god",5432
"188",2020,3,10,"joe biden",4402
"189",2020,3,10,"pelosi",3065
"190",2020,3,10,"matt gaetz",2863
"191",2020,3,11,"trump",20844
"192",2020,3,11,"god",6318
"193",2020,3,11,"coronavirus   michael",5291
"194",2020,3,11,"joe biden",4099
"195",2020,3,11,"nadine dorries",2948
"196",2020,3,12,"trump",27914
"197",2020,3,12,"tom hanks",27129
"198",2020,3,12,"rudy gobert",11873
"199",2020,3,12,"donald trump",5820
"200",2020,3,12,"rita wilson",5469
"201",2020,3,13,"trump",27795
"202",2020,3,13,"obama",5878
"203",2020,3,13,"god",5355
"204",2020,3,13,"joe biden",5204
"205",2020,3,13,"jesus",5179
"206",2020,3,14,"trump",23467
"207",2020,3,14,"donald trump",5567
"208",2020,3,14,"jesus",3822
"209",2020,3,14,"obama",3054
"210",2020,3,14,"joe biden",2912
"211",2020,3,15,"trump",19015
"212",2020,3,15,"donald trump",3469
"213",2020,3,15,"god",2844
"214",2020,3,15,"keef",2163
"215",2020,3,15,"obama",1934
"216",2020,3,16,"trump",19525
"217",2020,3,16,"biden",4504
"218",2020,3,16,"joe biden",2998
"219",2020,3,16,"melbrooks",2761
"220",2020,3,16,"god",2641
"221",2020,3,17,"trump",40468
"222",2020,3,17,"melbrooks",6828
"223",2020,3,17,"bob shellard",5414
"224",2020,3,17,"god",5256
"225",2020,3,17,"donald trump",5241
"226",2020,3,18,"trump",42025
"227",2020,3,18,"donald trump",4640
"228",2020,3,18,"god",3703
"229",2020,3,18,"""""""""vanessa hudgens""""""""",3475
"230",2020,3,18,"jesus",2675
"231",2020,3,19,"trump",64534
"232",2020,3,19,"richard burr",9497
"233",2020,3,19,"god",9044
"234",2020,3,19,"joe biden",7466
"235",2020,3,19,"jesus",6406
"236",2020,3,20,"trump",57430
"237",2020,3,20,"richard burr",16849
"238",2020,3,20,"god",12152
"239",2020,3,20,"burr",11842
"240",2020,3,20,"kelly loeffler",10422
"241",2020,3,21,"trump",62886
"242",2020,3,21,"god",13603
"243",2020,3,21,"donald trump",9299
"244",2020,3,21,"susan",7505
"245",2020,3,21,"cardi",5971
"246",2020,3,22,"trump",65901
"247",2020,3,22,"rand paul",19370
"248",2020,3,22,"god",12788
"249",2020,3,22,"lady",7464
"250",2020,3,22,"cashier",7461
"251",2020,3,23,"trump",47243
"252",2020,3,23,"rand paul",18572
"253",2020,3,23,"gaston",12096
"254",2020,3,23,"god",11563
"255",2020,3,23,"harvey weinstein",11477
"256",2020,3,24,"trump",19502
"257",2020,3,24,"pelosi",6543
"258",2020,3,24,"nancy pelosi",6061
"259",2020,3,24,"god",4161
"260",2020,3,24,"donald trump",2915
"261",2020,3,25,"trump",28576
"262",2020,3,25,"charles",8277
"263",2020,3,25,"diana",5398
"264",2020,3,25,"god",4467
"265",2020,3,25,"pelosi",3740
"266",2020,3,26,"trump",66625
"267",2020,3,26,"fauci",11493
"268",2020,3,26,"god",11424
"269",2020,3,26,"nancy pelosi",9216
"270",2020,3,26,"anthony fauci",8517
"271",2020,3,27,"trump",50181
"272",2020,3,27,"boris johnson",14975
"273",2020,3,27,"god",12267
"274",2020,3,27,"stupidity",11341
"275",2020,3,27,"jesus",9482
"276",2020,3,28,"trump",56267
"277",2020,3,28,"stupidity",31381
"278",2020,3,28,"god",10852
"279",2020,3,28,"donald trump",8941
"280",2020,3,28,"joe biden",6819
"281",2020,3,29,"trump",77088
"282",2020,3,29,"god",13118
"283",2020,3,29,"fauci",10167
"284",2020,3,29,"stupidity",8286
"285",2020,3,29,"pelosi",7443
"286",2020,3,30,"trump",48378
"287",2020,3,30,"nancy pelosi",11794
"288",2020,3,30,"god",10107
"289",2020,3,30,"pelosi",5609
"290",2020,3,30,"vladimir zelenko",5433
"291",2020,3,31,"trump",23428
"292",2020,3,31,"god",3190
"293",2020,3,31,"mike lindell",2348
"294",2020,3,31,"fauci",2288
"295",2020,3,31,"pelosi",2283
"296",2020,4,1,"trump",56585
"297",2020,4,1,"god",8024
"298",2020,4,1,"kelly loeffler",5133
"299",2020,4,1,"donald trump",5028
"300",2020,4,1,"sandra",5010
"301",2020,4,2,"trump",59715
"302",2020,4,2,"lonnie",16117
"303",2020,4,2,"god",14683
"304",2020,4,2,"pelosi",13695
"305",2020,4,2,"nancy pelosi",10622
"306",2020,4,3,"trump",55844
"307",2020,4,3,"nancy pelosi",15918
"308",2020,4,3,"jared kushner",13433
"309",2020,4,3,"pelosi",13425
"310",2020,4,3,"god",11078
"311",2020,4,4,"trump",75564
"312",2020,4,4,"donald trump",14947
"313",2020,4,4,"god",14524
"314",2020,4,4,"fauci",13374
"315",2020,4,4,"obama",9547
"316",2020,4,5,"trump",71490
"317",2020,4,5,"god",14535
"318",2020,4,5,"fauci",13565
"319",2020,4,5,"donald trump",13432
"320",2020,4,5,"boris johnson",10180
"321",2020,4,6,"trump",70246
"322",2020,4,6,"boris johnson",24763
"323",2020,4,6,"fauci",19120
"324",2020,4,6,"god",10256
"325",2020,4,6,"pep",8541
"326",2020,4,7,"trump",92114
"327",2020,4,7,"boris johnson",15201
"328",2020,4,7,"bill gates",8969
"329",2020,4,7,"god",8252
"330",2020,4,7,"fauci",6518
"331",2020,4,8,"trump",52457
"332",2020,4,8,"birx",9964
"333",2020,4,8,"john prine",7674
"334",2020,4,8,"jack dorsey",7190
"335",2020,4,8,"fauci",6447
"336",2020,4,9,"trump",40868
"337",2020,4,9,"fauci",7984
"338",2020,4,9,"bernie",7536
"339",2020,4,9,"boris johnson",5204
"340",2020,4,9,"lonnie",5166
"341",2020,4,10,"trump",70978
"342",2020,4,10,"fauci",11412
"343",2020,4,10,"god",8356
"344",2020,4,10,"boris johnson",6795
"345",2020,4,10,"gary locke",6471
"346",2020,4,11,"trump",54125
"347",2020,4,11,"god",12698
"348",2020,4,11,"dianne feinstein",11025
"349",2020,4,11,"bill maher",9342
"350",2020,4,11,"fauci",6460
"351",2020,4,12,"trump",58824
"352",2020,4,12,"god",22601
"353",2020,4,12,"fauci",15977
"354",2020,4,12,"boris johnson",9557
"355",2020,4,12,"donald trump",7425
"356",2020,4,13,"trump",80906
"357",2020,4,13,"fauci",35214
"358",2020,4,13,"god",11093
"359",2020,4,13,"theodore roosevelt",9000
"360",2020,4,13,"rick may",8426
"361",2020,4,14,"trump",113560
"362",2020,4,14,"god",18654
"363",2020,4,14,"fauci",11148
"364",2020,4,14,"donald trump",6804
"365",2020,4,14,"modi",6752
"366",2020,4,15,"trump",98850
"367",2020,4,15,"donald trump",18108
"368",2020,4,15,"god",9203
"369",2020,4,15,"acosta",6441
"370",2020,4,15,"bill gates",5826
"371",2020,4,16,"trump",68221
"372",2020,4,16,"nancy pelosi",11548
"373",2020,4,16,"god",9455
"374",2020,4,16,"bill gates",9195
"375",2020,4,16,"donald trump",6653
"376",2020,4,17,"trump",72499
"377",2020,4,17,"donald trump",10363
"378",2020,4,17,"fauci",9792
"379",2020,4,17,"phil",8473
"380",2020,4,17,"biden",7297
"381",2020,4,18,"trump",50304
"382",2020,4,18,"donald trump",8145
"383",2020,4,18,"boris johnson",7543
"384",2020,4,18,"abba kyari",6869
"385",2020,4,18,"obama",6863
"386",2020,4,19,"trump",74867
"387",2020,4,19,"boris johnson",31803
"388",2020,4,19,"obama",9500
"389",2020,4,19,"fauci",9146
"390",2020,4,19,"god",9025
"391",2020,4,20,"trump",83760
"392",2020,4,20,"skylar herbert",11360
"393",2020,4,20,"covid",9943
"394",2020,4,20,"fauci",8114
"395",2020,4,20,"god",8094
"396",2020,4,21,"trump",19227
"397",2020,4,21,"god",3075
"398",2020,4,21,"donald trump",3056
"399",2020,4,21,"fauci",1388
"400",2020,4,21,"obama",1215
"401",2020,4,22,"trump",66847
"402",2020,4,22,"fauci",7857
"403",2020,4,22,"god",7590
"404",2020,4,22,"donald trump",7536
"405",2020,4,22,"bill gates",7369
"406",2020,4,23,"trump",82990
"407",2020,4,23,"fauci",11402
"408",2020,4,23,"cuomo",10298
"409",2020,4,23,"pelosi",9750
"410",2020,4,23,"mcconnell",7667
"411",2020,4,24,"trump",189356
"412",2020,4,24,"dr birx",27513
"413",2020,4,24,"donald trump",22153
"414",2020,4,24,"whitsett",9816
"415",2020,4,24,"ramzan mubarak",7054
"416",2020,4,25,"trump",129351
"417",2020,4,25,"cuomo",14733
"418",2020,4,25,"donald trump",14578
"419",2020,4,25,"god",10669
"420",2020,4,25,"deborah",9946
"421",2020,4,26,"trump",99999
"422",2020,4,26,"donald trump",19860
"423",2020,4,26,"god",12504
"424",2020,4,26,"cuomo",11896
"425",2020,4,26,"adam schiff",11761
"426",2020,4,27,"trump",82036
"427",2020,4,27,"boris johnson",20023
"428",2020,4,27,"god",16316
"429",2020,4,27,"donald trump",13897
"430",2020,4,27,"bill gates",13084
"431",2020,4,28,"trump",69452
"432",2020,4,28,"donald trump",13587
"433",2020,4,28,"barr",7888
"434",2020,4,28,"diamond",7856
"435",2020,4,28,"cuomo",7237
"436",2020,4,29,"trump",60321
"437",2020,4,29,"fauci",22776
"438",2020,4,29,"jared kushner",6800
"439",2020,4,29,"bill de blasio",5547
"440",2020,4,29,"god",4882
"441",2020,4,30,"trump",77290
"442",2020,4,30,"obama",15116
"443",2020,4,30,"fauci",12419
"444",2020,4,30,"donald trump",9640
"445",2020,4,30,"god",8719
"446",2020,5,1,"trump",59395
"447",2020,5,1,"fauci",13111
"448",2020,5,1,"obama",8123
"449",2020,5,1,"donald trump",7494
"450",2020,5,1,"democr",7273
"451",2020,5,2,"trump",53381
"452",2020,5,2,"fauci",21244
"453",2020,5,2,"god",6893
"454",2020,5,2,"anthony fauci",6593
"455",2020,5,2,"cuomo",5169
"456",2020,5,3,"trump",56519
"457",2020,5,3,"bill gates",8635
"458",2020,5,3,"kate brown",8374
"459",2020,5,3,"donald trump",8258
"460",2020,5,3,"god",7990
"461",2020,5,4,"trump",98375
"462",2020,5,4,"pelosi",14761
"463",2020,5,4,"fauci",10257
"464",2020,5,4,"nancy pelosi",9918
"465",2020,5,4,"donald trump",8003
"466",2020,5,5,"trump",35044
"467",2020,5,5,"covid",18782
"468",2020,5,5,"fauci",8649
"469",2020,5,5,"abhijit banerjee",3750
"470",2020,5,5,"god",3547
"471",2020,5,6,"trump",109642
"472",2020,5,6,"fauci",15364
"473",2020,5,6,"kushner",11724
"474",2020,5,6,"donald trump",10130
"475",2020,5,6,"cuomo",10061
"476",2020,5,7,"trump",113410
"477",2020,5,7,"cuomo",14968
"478",2020,5,7,"donald trump",13467
"479",2020,5,7,"god",12301
"480",2020,5,7,"fauci",11293
"481",2020,5,8,"trump",124216
"482",2020,5,8,"katie miller",23067
"483",2020,5,8,"stephen miller",20234
"484",2020,5,8,"mike pence",14384
"485",2020,5,8,"ron desantis",11361
"486",2020,5,9,"trump",109353
"487",2020,5,9,"obama",26545
"488",2020,5,9,"roy horn",18042
"489",2020,5,9,"katie miller",17398
"490",2020,5,9,"stephen miller",15224
"491",2020,5,10,"trump",92969
"492",2020,5,10,"obama",32871
"493",2020,5,10,"boris johnson",25779
"494",2020,5,10,"fauci",20397
"495",2020,5,10,"donald trump",14166
"496",2020,5,11,"trump",108716
"497",2020,5,11,"jollett",31353
"498",2020,5,11,"cuomo",22295
"499",2020,5,11,"boris johnson",21988
"500",2020,5,11,"peter daszak",20802
"501",2020,5,12,"trump",119749
"502",2020,5,12,"fauci",63354
"503",2020,5,12,"obama",34736
"504",2020,5,12,"jollett",31980
"505",2020,5,12,"rand paul",26630
"506",2020,5,13,"trump",83480
"507",2020,5,13,"fauci",68219
"508",2020,5,13,"obama",22333
"509",2020,5,13,"cheney",19921
"510",2020,5,13,"paul manafort",17792
"511",2020,5,14,"trump",91800
"512",2020,5,14,"fauci",34349
"513",2020,5,14,"rick bright",20049
"514",2020,5,14,"richard burr",19125
"515",2020,5,14,"jeff bezos",16059
"516",2020,5,15,"trump",93039
"517",2020,5,15,"fauci",29816
"518",2020,5,15,"obama",17346
"519",2020,5,15,"pelosi",13229
"520",2020,5,15,"jeff bezos",10216
"521",2020,5,16,"trump",89064
"522",2020,5,16,"obama",19291
"523",2020,5,16,"bill gates",14297
"524",2020,5,16,"cuomo",12639
"525",2020,5,16,"pelosi",11715
"526",2020,5,17,"trump",84231
"527",2020,5,17,"obama",33132
"528",2020,5,17,"eric trump",22185
"529",2020,5,17,"cuomo",12682
"530",2020,5,17,"donald trump",11804
"531",2020,5,18,"trump",82832
"532",2020,5,18,"mingyu",18100
"533",2020,5,18,"obama",17260
"534",2020,5,18,"cuomo",13805
"535",2020,5,18,"seventeen mingyu",13537
"536",2020,5,19,"trump",99162
"537",2020,5,19,"donald trump",33162
"538",2020,5,19,"rebekah jones",12208
"539",2020,5,19,"cuomo",8547
"540",2020,5,19,"fauci",8252
"541",2020,5,20,"trump",89098
"542",2020,5,20,"donald trump",13445
"543",2020,5,20,"mike schultz",9611
"544",2020,5,20,"obama",9360
"545",2020,5,20,"god",9117
"546",2020,5,21,"trump",94622
"547",2020,5,21,"kamala harris",23170
"548",2020,5,21,"heels",15797
"549",2020,5,21,"cuomo",15731
"550",2020,5,21,"donald trump",14397
"551",2020,5,22,"trump",90826
"552",2020,5,22,"dominic cummings",14052
"553",2020,5,22,"cuomo",9689
"554",2020,5,22,"donald trump",9373
"555",2020,5,22,"god",8553
"556",2020,5,23,"trump",80958
"557",2020,5,23,"dominic cummings",55785
"558",2020,5,23,"cummings",45686
"559",2020,5,23,"donald trump",20299
"560",2020,5,23,"covid",16517
"561",2020,5,24,"trump",62362
"562",2020,5,24,"cummings",41452
"563",2020,5,24,"dominic cummings",24157
"564",2020,5,24,"boris johnson",18237
"565",2020,5,24,"cuomo",16022
"566",2020,5,25,"trump",56465
"567",2020,5,25,"cummings",48509
"568",2020,5,25,"dominic cummings",29525
"569",2020,5,25,"covid",14466
"570",2020,5,25,"boris johnson",12237
"571",2020,5,26,"trump",62266
"572",2020,5,26,"cummings",43551
"573",2020,5,26,"dominic cummings",28570
"574",2020,5,26,"biden",9758
"575",2020,5,26,"covid",9515
"576",2020,5,27,"trump",47816
"577",2020,5,27,"cummings",17047
"578",2020,5,27,"dominic cummings",13917
"579",2020,5,27,"guy",12967
"580",2020,5,27,"cuomo",8651
"581",2020,5,28,"trump",63886
"582",2020,5,28,"cummings",18957
"583",2020,5,28,"dominic cummings",16055
"584",2020,5,28,"twitter",13730
"585",2020,5,28,"leavitt",13632
"586",2020,5,29,"trump",82970
"587",2020,5,29,"donald trump",63220
"588",2020,5,29,"george floyd",29745
"589",2020,5,29,"belly mujinga",22878
"590",2020,5,29,"karl anthony towns",14156
"591",2020,5,30,"donald trump",185219
"592",2020,5,30,"trump",56480
"593",2020,5,30,"george floyd",27616
