"","Year","Month","Text","Count"
"1",2020,1,"cdc",112553
"2",2020,1,"world health organization",50267
"3",2020,1,"hong kong university",23923
"4",2020,1,"psa",19291
"5",2020,1,"doh",17452
"6",2020,2,"cdc",395007
"7",2020,2,"trump",82092
"8",2020,2,"ccp",77275
"9",2020,2,"huawei",20191
"10",2020,2,"diamond princess",19850
"11",2020,3,"cdc",418483
"12",2020,3,"trump",192612
"13",2020,3,"congress",85665
"14",2020,3,"senate",76834
"15",2020,3,"nhs",76175
"16",2020,4,"cdc",262486
"17",2020,4,"trump",253859
"18",2020,4,"nhs",229235
"19",2020,4,"cnn",130477
"20",2020,4,"world health organization",94884
"21",2020,5,"cdc",567300
"22",2020,5,"trump",311931
"23",2020,5,"cnn",136527
"24",2020,5,"congress",94853
"25",2020,5,"genovia",89766
"26",2020,6,"cdc",493317
"27",2020,6,"trump",342932
"28",2020,6,"icu",201285
"29",2020,6,"covid",161330
"30",2020,6,"eu",125718
"31",2020,7,"cdc",1779719
"32",2020,7,"trump",437346
"33",2020,7,"covid",188710
"34",2020,7,"cnn",86110
"35",2020,7,"senate",74076
"36",2020,8,"cdc",1129884
"37",2020,8,"usps",397750
"38",2020,8,"trump",308206
"39",2020,8,"fda",303527
"40",2020,8,"rnc",208100
"41",2020,9,"cdc",1703346
"42",2020,9,"trump",461010
"43",2020,9,"covid",452252
"44",2020,9,"senate",187000
"45",2020,9,"cnn",146749
"46",2020,10,"cdc",1123976
"47",2020,10,"senate",823780
"48",2020,10,"trump",681243
"49",2020,10,"covid",333027
"50",2020,10,"secret service",208692
"51",2020,11,"pfizer",565673
"52",2020,11,"covid",538470
"53",2020,11,"cdc",442380
"54",2020,11,"senate",356021
"55",2020,11,"trump",249284
"56",2020,12,"congress",636379
"57",2020,12,"pfizer",622625
"58",2020,12,"cdc",613353
"59",2020,12,"senate",385169
"60",2020,12,"fda",212644
"61",2021,1,"nhs",293810
"62",2021,1,"covid",179976
"63",2021,1,"icu",174157
"64",2021,1,"cdc",162701
"65",2021,1,"pfizer",155006
