"","V1","V3","total"
"1","01","@spectatorindex",123397
"2","01","@WHO",105117
"3","01","@siwuol",67330
"4","01","@realDonaldTrump",66658
"5","01","@eyekon131",63249
"6","02","@realDonaldTrump",483468
"7","02","@WHO",147886
"8","02","@OHmes2",140362
"9","02","@washikirei",85241
"10","02","@naomusiker",80809
"11","03","@realDonaldTrump",1119076
"12","03","@narendramodi",172843
"13","03","@intothebrush",126518
"14","03","@WHO",98080
"15","03","@charliekirk11",95729
"16","04","@realDonaldTrump",1361243
"17","04","@narendramodi",291749
"18","04","@CNN",223674
"19","04","@ConflitsFR",211843
"20","04","@WHO",165231
