"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7153404
"3","@joebiden",3403414
"4","@mippcivzla",2069473
"5","@JoeBiden",1901092
"6","@narendramodi",1385072
"7","@potus",978092
"8","@DrRPNishank",872180
"9","@drdavidsamadi",680041
"10","@CNN",679706
"11","@aoc",672994
"12","@kamalaharris",604068
"13","@LicypriyaK",579101
"14","@ProjectLincoln",535328
"15","@WHO",517395
"16","@nicolasmaduro",428421
"17","@RealJamesWoods",355196
"18","@drericding",352647
"19","@NYGovCuomo",321033
"20","@Swamy39",319706
"21","@charliekirk11",308279
"22","@kylegriffin1",301626
"23","@BarackObama",273669
"24","@DrTedros",266338
"25","@flotus",259076
"26","@BernieSanders",234491
"27","@elonmusk",230583
"28","@OHmes2",227711
"29","@ConflitsFR",224356
"30","@btstwt",212281
"31","@unicef",208177
"32","@KamalaHarris",207473
"33","@Ibraofficial",207316
"34","@nytimes",204905
"35","@rexchapman",193994
"36","@vtvcanal8",177120
"37","@RealCandaceO",164374
"38","@AOC",163899
"39","@spectatorindex",163827
"40","@realcandaceo",159898
"41","@lopezobrador",159329
"42","@kkmputrajaya",158342
"43","@BrynnTannehill",154632
"44","@skaijackson",152123
"45","@ohmes2",151758
"46","@PMOIndia",149552
"47","@sheriantoinette",148799
"48","@donaldjtrumpjr",147443
"49","@BTStwt",144579
"50","@angelicaxval",144571
"51","@MikelJollett",143077
"52","@funder",142855
"53","@RahulGandhi",142265
"54","@stfunell",134474
"55","@ASlavitt",131967
"56","@tedlieu",131829
"57","@biondiewasabi",130084
"58","@projectlincoln",127103
"59","@AISAtweets",126978
"60","@zornitsaxx",126966
"61","@ossoff",125079
"62","@KKMPutrajaya",124210
"63","@yzngangel",121432
"64","@unicefchief",121252
"65","@rbreich",117715
"66","@stevenzequ",115899
"67","@donwinslow",115612
"68","@wewantMor",114172
"69","@KILLBILLEVOL1",113243
"70","@Fayemous",112354
"71","@theogdc",111126
"72","@demetriachavon",108476
"73","@repkatieporter",107733
"74","@mxwxzz",107030
"75","@bgluckman",105157
"76","@danamoralesss",104297
"77","@gregabbotttx",104199
"78","@rekszn",103570
"79","@wendizzle",103011
"80","@lindseygrahamsc",102604
"81","@realjameswoods",99943
"82","@BT21",99262
"83","@riotwaltz",98842
"84","@clownlito",98827
"85","@miriamh13",96246
"86","@repjayapal",95344
"87","@505eunice",94156
"88","@khunneung137",92718
"89","@jocehfk",91342
"90","@ZackBornstein",90997
"91","@eugenegu",90932
"92","@bighitent",90380
"93","@curtisisbooger",90000
"94","@Abdulmir19",89834
"95","@theprincedylan",89725
"96","@RJXXIV",89499
"97","@CamealAshley",89004
"98","@migizikwe",88989
"99","@nickwiger",88927
"100","@HeavenSentMel",87053
"101","@SrBachchan",86853
"102","@MatthewACherry",86599
"103","@allareblessed",86382
"104","@JackPosobiec",86043
"105","@intothebrush",85848
"106","@moonriver365",85717
"107","@washikirei",85241
"108","@buhrooke",83531
"109","@alsoto7",82605
"110","@sugaplumami",82555
"111","@yagirlkat",82238
"112","@naomusiker",80809
"113","@emaperidol",80555
"114","@KyleKulinski",80390
"115","@llinwood",80278
"116","@Tgiferb",80271
"117","@BrianduNord",80022
"118","@SandeepSaurav",79285
"119","@rudygiuliani",78880
"120","@alfredodelmazo",78772
"121","@jimjordan",78092
"122","@maddow",77894
"123","@mhdksafa",77882
"124","@itsdryx",77638
"125","@erictile",76850
"126","@jrnalll",76585
"127","@jodidoering",76477
"128","@jenniferjjacobs",76472
"129","@DatMichCray",75982
"130","@khetithegreat",75908
"131","@ilneroback",75859
"132","@CoachJustice10",75769
"133","@goldoveries",75664
"134","@mrgoya01",74980
"135","@cxrpxe",74751
"136","@valeriatapia",74439
"137","@marinarasawce",74292
"138","@fvrnandaa",74281
"139","@JudahTheSimp",74141
"140","@alanaauston",73817
"141","@officialplt",72343
"142","@f8th",72293
"143","@lexilulu",71668
"144","@saysthefox",71460
"145","@jennidigital",70537
"146","@whitehouse",70366
"147","@bassbarbie182",70150
"148","@KanganaTeam",69070
"149","@BorisJohnson",69044
"150","@DanRather",68297
"151","@siwuol",67330
"152","@paulsperry",67269
"153","@kingdeficit",67178
"154","@zachnm",66891
"155","@ishathepoet",66814
"156","@drsimonegold",66404
"157","@MK813",66328
"158","@kiranxx",66067
"159","@oscaardiaz",65958
"160","@ellorysmith",65693
"161","@chancsmith",65229
"162","@vp",64930
"163","@forensictoxguy",64927
"164","@Loeybug",64753
"165","@mitsurutenma",64497
"166","@hlgatell",64475
"167","@jemelehill",64321
"168","@bcraigv",63819
"169","@eyekon131",63249
"170","@danhaelle",63199
"171","@dcmadness202",63011
"172","@nyshuffler",62918
"173","@DaniOliver",62577
"174","@JJMaples55MST",62326
"175","@danpriceseattle",62192
"176","@PlainJanie",61957
"177","@DGHisham",61892
"178","@edmcupid",61757
"179","@stellaimmanuel",61735
"180","@borisjohnson",61498
"181","@kynjoy",61484
"182","@danaoneika",61075
"183","@nicolecoyle5",60693
"184","@diayannna",60577
"185","@Ixyaaa",59754
"186","@Toniob38",59561
"187","@BladeHalll",59272
"188","@KBSeauxluxe",59064
"189","@yoyotrav",58174
"190","@adoraIbe",58080
"191","@PiyushGoyal",58001
"192","@rofnl",57360
"193","@helloalegria",57319
"194","@omithewaffler",57242
"195","@bestofmarshall",57193
"196","@marcorubio",57187
"197","@cnn",57036
"198","@justwinnie",56960
"199","@coastaleddylb",56786
"200","@WITCHTRlALS",56775
"201","@mas1z1",56497
"202","@btstwts",56468
"203","@beyabean",56393
"204","@btsbighit",56185
"205","@EMRESUS",55961
"206","@AlexEdelman",55875
"207","@ifpiorg",55623
"208","@itsma",55275
"209","@IAMJADEJACKSON",55203
"210","@peytnhaag",55088
"211","@joeltkl",54838
"212","@UN",54780
"213","@HypNADic",54743
"214","@benoobrown",54599
"215","@tevonblair",54187
"216","@RexChapman",54167
"217","@duttypaul",54056
"218","@ProjectJosiee",54055
"219","@berniesanders",53648
"220","@TheRealHazz",53495
"221","@adazzlinhaze",53378
"222","@jordanklepper",53108
"223","@ampizzzle",52398
"224","@slothanova",52397
"225","@KatlynMarie06",52259
"226","@Heavenlyxoxo",52056
"227","@lylaconni",52026
"228","@thebklynvillain",51758
"229","@wizkidayo",51688
"230","@TuckerCarlson",51520
"231","@firstgentleman",51433
"232","@dougmar",51025
"233","@mmpadellan",51004
"234","@atrupar",50935
"235","@GEMINI",50930
"236","@th0tcouture",50867
"237","@lincnotfound",50748
"238","@notjoss",50115
"239","@quincyhicks",50053
"240","@iamelmars",49940
"241","@nickteeev",49748
"242","@Sphiamia",49652
"243","@briantylercohen",49311
"244","@b20e",49014
"245","@realhomomarcus",48914
"246","@jreganwilliams",48855
"247","@bobabiss",48826
"248","@pfizer",48727
"249","@masonthisis",48718
"250","@IngrahamAngle",48296
"251","@barackobama",48217
"252","@7eandra",47966
"253","@tinnkky",47683
"254","@OlaTinee",47417
"255","@AsiaChloeBrown",47409
"256","@bladehalll",47343
"257","@venieshaaa",47141
"258","@60Minutes",46811
"259","@keepoffgrass",46607
"260","@VONN3K",46503
"261","@billiebelieves",45968
"262","@layc04",45851
"263","@LWTPOLAROlD",45799
"264","@micahhsic",45787
"265","@herosnvrdie69",45699
"266","@bluskyz",45567
"267","@FirstTryKai",45238
"268","@chrislhayes",45120
"269","@superm",45013
"270","@florsles",45010
"271","@baabyyast",44784
"272","@SHNDY1312",44485
"273","@wangseaver",44447
"274","@melhuman",44359
"275","@teaxtarot",44267
"276","@giphxyz",44153
"277","@Carlos4PF",44046
"278","@jordanzakarin",43894
"279","@lsabelladani",43779
"280","@ItsJustShay",43534
"281","@mamamapounds",43322
"282","@NickHintonn",43276
"283","@joncoopertweets",43032
"284","@morekimo",42827
"285","@chloedontsurf",42641
"286","@mothcharm",42615
"287","@youniqsy",42454
"288","@peachyblackg0rl",42402
"289","@lavendernvelv",42388
"290","@rebekkarnold",42371
"291","@sahelhaque",42361
"292","@EmeraldRobinson",42249
"293","@lois0112",42164
"294","@menumpahkan",42061
"295","@jessismoree",42037
"296","@warofthesuburbs",42023
"297","@maipham",42014
"298","@seattlepd",41988
"299","@briitogabiis",41938
"300","@Mexaa",41720
"301","@itsJeffTiedrich",41678
"302","@ROSNALJU",41676
"303","@jjamz",41534
"304","@BELIFTLAB",41492
"305","@larissegg",41437
"306","@Iyanii",41335
"307","@kiiingkrystal",41141
"308","@jenniferatntd",41134
"309","@bettywinnn",41060
"310","@volinxx",41007
"311","@damsuran",40935
"312","@Muktab",40864
"313","@EnzDeQuay",40858
"314","@NlAMHMEALONE",40847
"315","@priteshgandhimd",40715
"316","@eliseannelee",40710
"317","@wyabritt",40691
"318","@sarahlostctrl",40461
"319","@ongbiscuit",40421
"320","@petebuttigieg",40396
"321","@josstheboss",40207
"322","@callumtwalker",40206
"323","@JupiterDreamCo",40117
"324","@DarienAlexis3",40068
"325","@stayfrea",40061
"326","@GRAMMYMuseum",39955
"327","@SpookyAnarchist",39925
"328","@IamAfrodisiac",39831
"329","@skzlovs",39772
"330","@metalgearobama",39702
"331","@badmamiiiii",39544
"332","@stridinstrider",39511
"333","@angeverafter",39462
"334","@deadeyebrakeman",39314
"335","@katiejanee",39218
"336","@dentbear",39137
"337","@bernalalala",39104
"338","@megswifelife",39069
"339","@arrozconitalia",38948
"340","@gellowgene",38855
"341","@lindsaydemeola",38827
"342","@Sp00kyMeadow",38764
"343","@Narrissaa",38752
"344","@bessbell",38703
"345","@kyliesparks",38368
"346","@matthancock",38368
"347","@iamsashakae",38253
"348","@BrettMau5",38246
"349","@EduMinOfIndia",38154
"350","@berryela",38130
"351","@rhysblakely",38113
"352","@ENHYPENmembers",37962
"353","@b",37919
"354","@tedcruz",37898
"355","@donmoyn",37804
"356","@travon",37779
"357","@meloniturralde",37704
"358","@W",37674
"359","@Mippcivzla",37563
"360","@yogrishiramdev",37510
"361","@auronplay",37282
"362","@fbgwayne",37215
"363","@202natt",37152
"364","@thesarahkelly",37125
